"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EXP","PHONE_NUMBER","EMAIL","DEPARTMENT_ID","DEPARTMENT_NAME","MANAGER_ID","CITY","GEO_ID"
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",379
100,"Steven","King",26,"515.123.4567","SKING",90,"Executive",100,"Seattle",490
